"ID","SEXENT","tuition_IO","race_ethn_desc_IPEDS","Major_F1","coll_f1","entering_fall","Major_S1","coll_s1","Major_F2","coll_f2","Major_S2","coll_s2","Major_F3","coll_f3","Major_S3","coll_s3","Major_F4","coll_f4","Major_S4","coll_s4","Major_F5","coll_f5","Major_S5","coll_s5","Major_F6","coll_f6","Major_S6","coll_s6","dgrterm","grad_year","SF"
"16","M","I","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","GE_F2","ENG_F2","EE_S2","ENG_S2","EE_F3","ENG_F3","EE_S3","ENG_S3","NE_F4","NE_F4","EE_S4","ENG_S4","EE_F5","ENG_F5","EE_S5","ENG_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200601","GRAD_F6","F6"
"17","M","I","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","GE_F2","ENG_F2","GE_S2","ENG_S2","MINE_F3","ENG_F3","MINE_S3","ENG_S3","MINE_F4","ENG_F4","MINE_S4","ENG_S4","MINE_F5","ENG_F5","MINE_S5","ENG_S5","MINE_F6","ENG_F6","GRAD_S6","GRAD_S6","200609","GRAD_S6","S6"
"18","F","O","White","BIOL_F1","SCI_F1","Fall 2001","CT_S1","LAHS_S1","CT_F2","LAHS_F2","IDP_S2","AUS_S2","ITDS_F3","AUS_F3","ITDS_S3","AUS_S3","ITDS_F4","AUS_F4","ITDS_S4","AUS_S4","ITDS_F5","AUS_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200509","GRAD_S5","S5"
"19","M","O","White","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","US_F2","IC_F2","PSYC_S2","SCI_S2","PSYC_F3","SCI_F3","PSYC_S3","SCI_S3","PSYC_F4","SCI_F4","PSYC_S4","SCI_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"20","F","O","Black or African American","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","CPE_F2","ENG_F2","CPE_S2","ENG_S2","CPE_F3","ENG_F3","EE_S3","ENG_S3","EE_F4","ENG_F4","EE_S4","ENG_S4","EE_F5","ENG_F5","EE_S5","ENG_S5","EE_F6","ENG_F6","EE_S6","ENG_S6","200801",,
"21","F","I","Black or African American","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","US_F2","IC_F2","US_S2","IC_S2","ECON_F3","BIZ_F3","HIDM_S3","LAHS_S3","AHRM_F4","LAHS_F4","AHRM_S4","LAHS_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200506","GRAD_F5","F5"
"22","M","I","White","CS_F1","SCI_F1","Fall 2001","CS_S1","SCI_S1","CS_F2","SCI_F2","PSYC_S2","SCI_S2","PSYC_F3","SCI_F3","IDST_S3","LAHS_S3","IDST_F4","LAHS_F4","IDST_S4","LAHS_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"23","M","I","White","WSCI_F1","NRE_F1","Fall 2001","WSCI_S1","NRE_S1","WOOD_F2","NRE_F2","WOOD_S2","NRE_S2","WOOD_F3","NRE_F3","WOOD_S3","NRE_S3","WOOD_F4","NRE_F4","WOOD_S4","NRE_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"24","M","I","White","COMM_F1","SCI_F1","Fall 2001","COMM_S1","SCI_S1","COMM_F2","LAHS_F2","NE_S2","NE_S2","COMM_F3","LAHS_F3","NE_S3","NE_S3","NE_F4","NE_F4","COMM_S4","LAHS_S4","NE_F5","NE_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
"25","M","I","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","MATH_F2","SCI_F2","MATH_S2","SCI_S2","MATH_F3","SCI_F3","MATH_S3","SCI_S3","MATH_F4","SCI_F4","MATH_S4","SCI_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"26","M","O","White","CS_F1","SCI_F1","Fall 2001","CS_S1","SCI_S1","CS_F2","SCI_F2","CS_S2","SCI_S2","CS_F3","ENG_F3","CS_S3","ENG_S3","CS_F4","ENG_F4","CS_S4","ENG_S4","CS_F5","ENG_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200509","GRAD_S5","S5"
"27","M","I","White","AAEC_F1","ALS_F1","Fall 2001","AAEC_S1","ALS_S1","AAEC_F2","ALS_F2","AAEC_S2","ALS_S2","AAEC_F3","ALS_F3","AAEC_S3","ALS_S3","AAEC_F4","ALS_F4","AAEC_S4","ALS_S4","AAEC_F5","ALS_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6","200709",,
"28","M","I","Not Reported","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","US_F2","IC_F2","BCHM_S2","ALS_S2","BCHM_F3","ALS_F3","NE_S3","NE_S3","BCHM_F4","ALS_F4","BCHM_S4","ALS_S4","NE_F5","NE_F5","NE_S5","NE_S5","STAT_F6","SCI_F6","GRAD_S6","GRAD_S6","200701","GRAD_S6","S6"
