"ID","SEXENT","tuition_IO","race_ethn_desc_IPEDS","Major_F1","coll_f1","entering_fall","Major_S1","coll_s1","Major_F2","coll_f2","Major_S2","coll_s2","Major_F3","coll_f3","Major_S3","coll_s3","Major_F4","coll_f4","Major_S4","coll_s4","Major_F5","coll_f5","Major_S5","coll_s5","Major_F6","coll_f6","Major_S6","coll_s6","dgrterm","grad_year","SF"
"1460","M","O","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","GE_F2","ENG_F2","ME_S2","ENG_S2","ME_F3","ENG_F3","ME_S3","ENG_S3","ME_F4","ENG_F4","ME_S4","ENG_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1461","M","I","White","CS_F1","SCI_F1","Fall 2001","CS_S1","SCI_S1","BIT_F2","BIZ_F2","BIT_S2","BIZ_S2","BIT_F3","BIZ_F3","BIT_S3","BIZ_S3","BIT_F4","BIZ_F4","BIT_S4","BIZ_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1462","M","O","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","GE_F2","ENG_F2","ME_S2","ENG_S2","ME_F3","ENG_F3","ME_S3","ENG_S3","ME_F4","ENG_F4","ME_S4","ENG_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1463","M","O","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","ME_F2","ENG_F2","ME_S2","ENG_S2","ME_F3","ENG_F3","ME_S3","ENG_S3","ME_F4","ENG_F4","ME_S4","ENG_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1464","F","I","White","HNFE_F1","LAHS_F1","Fall 2001","HNFE_S1","LAHS_S1","HNFE_F2","LAHS_F2","HNFE_S2","LAHS_S2","HNFE_F3","ALS_F3","HNFE_S3","ALS_S3","HNFE_F4","ALS_F4","HNFE_S4","ALS_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1465","M","I","White","CS_F1","SCI_F1","Fall 2001","CS_S1","SCI_S1","NE_F2","NE_F2","NE_S2","NE_S2","NE_F3","NE_F3","NE_S3","NE_S3","NE_F4","NE_F4","NE_S4","NE_S4","NE_F5","NE_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
"1466","F","I","Asian","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","US_F2","IC_F2","BIOL_S2","SCI_S2","BIOL_F3","SCI_F3","BIOL_S3","SCI_S3","BIOL_F4","SCI_F4","BIOL_S4","SCI_S4","BIOL_F5","SCI_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
"1467","F","I","White","PSYC_F1","SCI_F1","Fall 2001","PSYC_S1","SCI_S1","PSYC_F2","SCI_F2","PSYC_S2","SCI_S2","PSYC_F3","SCI_F3","PSYC_S3","SCI_S3","PSYC_F4","SCI_F4","PSYC_S4","SCI_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1468","F","I","White","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","NE_F2","NE_F2","NE_S2","NE_S2","NE_F3","NE_F3","NE_S3","NE_S3","NE_F4","NE_F4","NE_S4","NE_S4","NE_F5","NE_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
"1469","F","I","White","HORT_F1","ALS_F1","Fall 2001","HORT_S1","ALS_S1","HIST_F2","SCI_F2","HIST_S2","SCI_S2","HIST_F3","LAHS_F3","HIST_S3","LAHS_S3","HIST_F4","LAHS_F4","GRAD_S4","GRAD_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200409","GRAD_S4","S4"
"1470","F","O","White","BCHM_F1","ALS_F1","Fall 2001","BCHM_S1","ALS_S1","HNFE_F2","LAHS_F2","HNFE_S2","LAHS_S2","HNFE_F3","ALS_F3","HNFE_S3","ALS_S3","HNFE_F4","ALS_F4","HNFE_S4","ALS_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200506","GRAD_F5","F5"
"1471","F","O","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","GE_F2","ENG_F2","BSE_S2","ENG_S2","BSE_F3","ENG_F3","BSE_S3","ENG_S3","BSE_F4","ENG_F4","BSE_S4","ENG_S4","BSE_F5","ENG_F5","BSE_S5","ENG_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200601","GRAD_F6","F6"
"1472","F","I","White","HD_F1","LAHS_F1","Fall 2001","HD_S1","LAHS_S1","HD_F2","LAHS_F2","HD_S2","LAHS_S2","HD_F3","LAHS_F3","HD_S3","LAHS_S3","HD_F4","LAHS_F4","GRAD_S4","GRAD_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200409","GRAD_S4","S4"
"1473","F","O","White","APSC_F1","ALS_F1","Fall 2001","APSC_S1","ALS_S1","APSC_F2","ALS_F2","APSC_S2","ALS_S2","APSC_F3","ALS_F3","APSC_S3","ALS_S3","APSC_F4","ALS_F4","APSC_S4","ALS_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200507","GRAD_F5","F5"
"1474","M","O","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","GE_F2","ENG_F2","NE_S2","NE_S2","CPE_F3","ENG_F3","CPE_S3","ENG_S3","CPE_F4","ENG_F4","CPE_S4","ENG_S4","CPE_F5","ENG_F5","CPE_S5","ENG_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200601","GRAD_F6","F6"
"1475","M","I","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","ME_F2","ENG_F2","ME_S2","ENG_S2","ME_F3","ENG_F3","ME_S3","ENG_S3","ME_F4","ENG_F4","ME_S4","ENG_S4","ME_F5","ENG_F5","ME_S5","ENG_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200601","GRAD_F6","F6"
"1476","F","I","White","HD_F1","LAHS_F1","Fall 2001","HD_S1","LAHS_S1","HD_F2","LAHS_F2","HD_S2","LAHS_S2","HD_F3","LAHS_F3","HD_S3","LAHS_S3","HD_F4","LAHS_F4","GRAD_S4","GRAD_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200409","GRAD_S4","S4"
"1477","M","I","White","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","US_F2","IC_F2","BIOL_S2","SCI_S2","BIOL_F3","SCI_F3","BIOL_S3","SCI_S3","BIOL_F4","SCI_F4","BIOL_S4","SCI_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1478","M","I","White","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","US_F2","IC_F2","US_S2","IC_S2","CS_F3","ENG_F3","CS_S3","ENG_S3","CS_F4","ENG_F4","CS_S4","ENG_S4","CS_F5","ENG_F5","CS_S5","ENG_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200601","GRAD_F6","F6"
"1479","M","I","Black or African American","PSCI_F1","SCI_F1","Fall 2001","PSCI_S1","SCI_S1","PSCI_F2","SCI_F2","ECON_S2","BIZ_S2","ECON_F3","BIZ_F3","ECON_S3","BIZ_S3","ECON_F4","BIZ_F4","PSCI_S4","LAHS_S4","PSCI_F5","LAHS_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200509","GRAD_S5","S5"
"1480","M","O","White","CS_F1","SCI_F1","Fall 2001","CS_S1","SCI_S1","CS_F2","SCI_F2","IS_S2","SCI_S2","IS_F3","LAHS_F3","IS_S3","LAHS_S3","NE_F4","NE_F4","NE_S4","NE_S4","IS_F5","LAHS_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
"1481","F","I","White","FORS_F1","NRE_F1","Fall 2001","FORS_S1","NRE_S1","FORS_F2","NRE_F2","FORS_S2","NRE_S2","FORS_F3","NRE_F3","FORS_S3","NRE_S3","FORS_F4","NRE_F4","FORS_S4","NRE_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1482","M","O","White","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","US_F2","IC_F2","ECON_S2","BIZ_S2","ECON_F3","BIZ_F3","ECON_S3","BIZ_S3","ECON_F4","BIZ_F4","ECON_S4","BIZ_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1483","M","I","White","GE_F1","ENG_F1","Fall 2001","NE_S1","NE_S1","NE_F2","NE_F2","NE_S2","NE_S2","NE_F3","NE_F3","NE_S3","NE_S3","NE_F4","NE_F4","NE_S4","NE_S4","NE_F5","NE_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
"1484","F","O","White","US_F1","IC_F1","Fall 2001","HTM_S1","LAHS_S1","HTM_F2","BIZ_F2","HTM_S2","BIZ_S2","HTM_F3","BIZ_F3","HTM_S3","BIZ_S3","HTM_F4","BIZ_F4","HTM_S4","BIZ_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200506","GRAD_F5","F5"
"1485","F","O","White","BIOL_F1","SCI_F1","Fall 2001","NE_S1","NE_S1","NE_F2","NE_F2","NE_S2","NE_S2","NE_F3","NE_F3","NE_S3","NE_S3","NE_F4","NE_F4","NE_S4","NE_S4","NE_F5","NE_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
"1486","M","I","Not Reported","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","ME_F2","ENG_F2","ME_S2","ENG_S2","ME_F3","ENG_F3","NE_S3","NE_S3","NE_F4","NE_F4","ME_S4","ENG_S4","ME_F5","ENG_F5","ME_S5","ENG_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200601","GRAD_F6","F6"
"1487","F","O","White","COMM_F1","SCI_F1","Fall 2001","COMM_S1","SCI_S1","COMM_F2","LAHS_F2","COMM_S2","LAHS_S2","COMM_F3","LAHS_F3","COMM_S3","LAHS_S3","COMM_F4","LAHS_F4","COMM_S4","LAHS_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1488","M","O","Not Reported","US_F1","IC_F1","Fall 2001","NE_S1","NE_S1","NE_F2","NE_F2","NE_S2","NE_S2","NE_F3","NE_F3","NE_S3","NE_S3","NE_F4","NE_F4","NE_S4","NE_S4","NE_F5","NE_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
"1489","F","I","White","ENSC_F1","ALS_F1","Fall 2001","ENSC_S1","ALS_S1","SOC_F2","SCI_F2","SOC_S2","SCI_S2","NE_F3","NE_F3","NE_S3","NE_S3","NE_F4","NE_F4","NE_S4","NE_S4","NE_F5","NE_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
"1490","F","I","Asian","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","US_F2","IC_F2","BIOL_S2","SCI_S2","HNFE_F3","ALS_F3","HNFE_S3","ALS_S3","PSYC_F4","SCI_F4","NE_S4","NE_S4","PSYC_F5","SCI_F5","PSYC_S5","SCI_S5","NE_F6","NE_F6","NE_S6","NE_S6","200807",,
"1491","F","O","White","APSC_F1","ALS_F1","Fall 2001","WSCI_S1","NRE_S1","WSCI_F2","NRE_F2","WSCI_S2","NRE_S2","WSCI_F3","NRE_F3","WSCI_S3","NRE_S3","WSCI_F4","NRE_F4","WSCI_S4","NRE_S4","WSCI_F5","NRE_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200509","GRAD_S5","S5"
"1492","M","O","White","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","CS_F2","SCI_F2","CS_S2","SCI_S2","CS_F3","ENG_F3","CS_S3","ENG_S3","CS_F4","ENG_F4","CS_S4","ENG_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1493","M","O","White","FIN_F1","BIZ_F1","Fall 2001","FIN_S1","BIZ_S1","FIN_F2","BIZ_F2","FIN_S2","BIZ_S2","FIN_F3","BIZ_F3","FIN_S3","BIZ_S3","FIN_F4","BIZ_F4","FIN_S4","BIZ_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1494","M","I","Black or African American","PSCI_F1","SCI_F1","Fall 2001","PSCI_S1","SCI_S1","PSCI_F2","SCI_F2","PSCI_S2","SCI_S2","PSCI_F3","LAHS_F3","PSCI_S3","LAHS_S3","PSCI_F4","LAHS_F4","PSCI_S4","LAHS_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1495","M","I","White","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","US_F2","IC_F2","US_S2","IC_S2","HIDM_F3","LAHS_F3","AHRM_S3","LAHS_S3","AHRM_F4","LAHS_F4","AHRM_S4","LAHS_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1496","M","I","White","CS_F1","SCI_F1","Fall 2001","CS_S1","SCI_S1","CS_F2","SCI_F2","PSCI_S2","SCI_S2","PSCI_F3","LAHS_F3","PSCI_S3","LAHS_S3","PSCI_F4","LAHS_F4","NE_S4","NE_S4","PSCI_F5","LAHS_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200509","GRAD_S5","S5"
"1497","F","I","White","HD_F1","LAHS_F1","Fall 2001","HD_S1","LAHS_S1","HD_F2","LAHS_F2","HD_S2","LAHS_S2","HD_F3","LAHS_F3","HD_S3","LAHS_S3","HD_F4","LAHS_F4","GRAD_S4","GRAD_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200409","GRAD_S4","S4"
"1498","M","I","Asian","CS_F1","SCI_F1","Fall 2001","UST_S1","IC_S1","UST_F2","IC_F2","UST_S2","IC_S2","HTM_F3","BIZ_F3","HTM_S3","BIZ_S3","HTM_F4","BIZ_F4","HTM_S4","BIZ_S4","HTM_F5","BIZ_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200509","GRAD_S5","S5"
"1499","M","I","White","PSCI_F1","SCI_F1","Fall 2001","PSCI_S1","SCI_S1","PSCI_F2","SCI_F2","PSCI_S2","SCI_S2","PSCI_F3","LAHS_F3","PSCI_S3","LAHS_S3","PSCI_F4","LAHS_F4","PSCI_S4","LAHS_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1500","F","I","White","CS_F1","SCI_F1","Fall 2001","CS_S1","SCI_S1","CS_F2","SCI_F2","ECON_S2","BIZ_S2","ECON_F3","BIZ_F3","ECON_S3","BIZ_S3","ECON_F4","BIZ_F4","ECON_S4","BIZ_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1501","M","I","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","CPE_F2","ENG_F2","CPE_S2","ENG_S2","CPE_F3","ENG_F3","CPE_S3","ENG_S3","CPE_F4","ENG_F4","CPE_S4","ENG_S4","CPE_F5","ENG_F5","CPE_S5","ENG_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200601","GRAD_F6","F6"
"1502","F","I","White","APSC_F1","ALS_F1","Fall 2001","APSC_S1","ALS_S1","CHEM_F2","SCI_F2","BIOC_S2","SCI_S2","BIOL_F3","SCI_F3","BIOL_S3","SCI_S3","BIOL_F4","SCI_F4","BIOL_S4","SCI_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1503","M","O","Asian","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","NE_F2","NE_F2","EE_S2","ENG_S2","ME_F3","ENG_F3","ME_S3","ENG_S3","ME_F4","ENG_F4","ME_S4","ENG_S4","ME_F5","ENG_F5","ME_S5","ENG_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200601","GRAD_F6","F6"
"1504","M","I","Black or African American","CS_F1","SCI_F1","Fall 2001","CS_S1","SCI_S1","CS_F2","SCI_F2","CS_S2","SCI_S2","CS_F3","ENG_F3","CS_S3","ENG_S3","CS_F4","ENG_F4","CS_S4","ENG_S4","BIT_F5","BIZ_F5","BIT_S5","BIZ_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200601","GRAD_F6","F6"
"1505","F","I","White","BUS_F1","BIZ_F1","Fall 2001","BUS_S1","BIZ_S1","FIN_F2","BIZ_F2","ACIS_S2","BIZ_S2","ACIS_F3","BIZ_F3","ACIS_S3","BIZ_S3","ACIS_F4","BIZ_F4","ACIS_S4","BIZ_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1506","M","I","White","BC_F1","AUS_F1","Fall 2001","BC_S1","AUS_S1","BC_F2","AUS_F2","BC_S2","AUS_S2","BC_F3","AUS_F3","BC_S3","AUS_S3","BC_F4","AUS_F4","BC_S4","AUS_S4","BC_F5","AUS_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200509","GRAD_S5","S5"
"1507","M","I","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","ME_F2","ENG_F2","NE_S2","NE_S2","NE_F3","NE_F3","ME_S3","ENG_S3","ME_F4","ENG_F4","ME_S4","ENG_S4","ME_F5","ENG_F5","NE_S5","NE_S5","ME_F6","ENG_F6","GRAD_S6","GRAD_S6","200707","GRAD_S6","S6"
"1508","F","I","White","PHYS_F1","SCI_F1","Fall 2001","PHYS_S1","SCI_S1","PHYS_F2","SCI_F2","BIOL_S2","SCI_S2","BIOL_F3","SCI_F3","BIOL_S3","SCI_S3","BIOL_F4","SCI_F4","BIOL_S4","SCI_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1509","M","I","White","IS_F1","SCI_F1","Fall 2001","IS_S1","SCI_S1","IS_F2","SCI_F2","IS_S2","SCI_S2","IS_F3","LAHS_F3","IS_S3","LAHS_S3","IS_F4","LAHS_F4","IS_S4","LAHS_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1510","M","I","White","WSCI_F1","NRE_F1","Fall 2001","WSCI_S1","NRE_S1","WOOD_F2","NRE_F2","WOOD_S2","NRE_S2","NE_F3","NE_F3","WOOD_S3","NRE_S3","NE_F4","NE_F4","NE_S4","NE_S4","WOOD_F5","NRE_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
"1511","F","I","White","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","HIST_F2","SCI_F2","HIST_S2","SCI_S2","PSCI_F3","LAHS_F3","PSCI_S3","LAHS_S3","PSCI_F4","LAHS_F4","PSCI_S4","LAHS_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1512","F","O","White","BIOL_F1","SCI_F1","Fall 2001","BIOL_S1","SCI_S1","HNFE_F2","LAHS_F2","HNFE_S2","LAHS_S2","NE_F3","NE_F3","NE_S3","NE_S3","NE_F4","NE_F4","NE_S4","NE_S4","NE_F5","NE_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
"1513","F","I","White","ENGL_F1","SCI_F1","Fall 2001","ENGL_S1","SCI_S1","ENGL_F2","SCI_F2","ENGL_S2","SCI_S2","ENGL_F3","LAHS_F3","ENGL_S3","LAHS_S3","ENGL_F4","LAHS_F4","GRAD_S4","GRAD_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200409","GRAD_S4","S4"
"1514","M","I","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","GE_F2","ENG_F2","NE_S2","NE_S2","GE_F3","ENG_F3","GE_S3","ENG_S3","NE_F4","NE_F4","NE_S4","NE_S4","NE_F5","NE_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
"1515","M","I","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","CE_F2","ENG_F2","CE_S2","ENG_S2","CE_F3","ENG_F3","CE_S3","ENG_S3","CE_F4","ENG_F4","CE_S4","ENG_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1516","M","O","Nonresident Alien","CS_F1","SCI_F1","Fall 2001","CS_S1","SCI_S1","CS_F2","SCI_F2","CS_S2","SCI_S2","CS_F3","ENG_F3","CS_S3","ENG_S3","CS_F4","ENG_F4","CS_S4","ENG_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1517","M","I","White","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","NE_F2","NE_F2","NE_S2","NE_S2","NE_F3","NE_F3","NE_S3","NE_S3","NE_F4","NE_F4","NE_S4","NE_S4","NE_F5","NE_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
"1518","M","I","White","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","US_F2","IC_F2","ME_S2","ENG_S2","NE_F3","NE_F3","ME_S3","ENG_S3","NE_F4","NE_F4","ME_S4","ENG_S4","ME_F5","ENG_F5","ME_S5","ENG_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200601","GRAD_F6","F6"
"1519","F","I","White","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","PSYC_F2","SCI_F2","PSYC_S2","SCI_S2","PSYC_F3","SCI_F3","PSYC_S3","SCI_S3","PSYC_F4","SCI_F4","PSYC_S4","SCI_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1520","M","I","White","FORS_F1","NRE_F1","Fall 2001","FORS_S1","NRE_S1","FORS_F2","NRE_F2","FORS_S2","NRE_S2","FORS_F3","NRE_F3","FORS_S3","NRE_S3","FORS_F4","NRE_F4","FORS_S4","NRE_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1521","M","O","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","EE_F2","ENG_F2","EE_S2","ENG_S2","NE_F3","NE_F3","EE_S3","ENG_S3","EE_F4","ENG_F4","EE_S4","ENG_S4","EE_F5","ENG_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200509","GRAD_S5","S5"
"1522","F","I","White","COMM_F1","SCI_F1","Fall 2001","COMM_S1","SCI_S1","COMM_F2","LAHS_F2","COMM_S2","LAHS_S2","COMM_F3","LAHS_F3","COMM_S3","LAHS_S3","COMM_F4","LAHS_F4","COMM_S4","LAHS_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1523","F","I","White","COMM_F1","SCI_F1","Fall 2001","COMM_S1","SCI_S1","COMM_F2","LAHS_F2","COMM_S2","LAHS_S2","COMM_F3","LAHS_F3","COMM_S3","LAHS_S3","COMM_F4","LAHS_F4","GRAD_S4","GRAD_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200409","GRAD_S4","S4"
"1524","F","I","White","BIOL_F1","SCI_F1","Fall 2001","BIOL_S1","SCI_S1","BIOL_F2","SCI_F2","BIOL_S2","SCI_S2","BIOL_F3","SCI_F3","BIOL_S3","SCI_S3","BIOL_F4","SCI_F4","BIOL_S4","SCI_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"1525","M","O","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","AE_F2","ENG_F2","AE_S2","ENG_S2","AE_F3","ENG_F3","NE_S3","NE_S3","NE_F4","NE_F4","AE_S4","ENG_S4","AE_F5","ENG_F5","AE_S5","ENG_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200601","GRAD_F6","F6"
"1526","M","O","White","GE_F1","ENG_F1","Fall 2001","TED_S1","LAHS_S1","TED_F2","LAHS_F2","TED_S2","LAHS_S2","TED_F3","LAHS_F3","TED_S3","LAHS_S3","TED_F4","LAHS_F4","TED_S4","LAHS_S4","TED_F5","LAHS_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200509","GRAD_S5","S5"
"1527","M","O","White","BIT_F1","BIZ_F1","Fall 2001","BIT_S1","BIZ_S1","PSCI_F2","SCI_F2","PSCI_S2","SCI_S2","NE_F3","NE_F3","NE_S3","NE_S3","NE_F4","NE_F4","NE_S4","NE_S4","NE_F5","NE_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
"1528","F","O","White","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","HD_F2","LAHS_F2","HD_S2","LAHS_S2","NE_F3","NE_F3","NE_S3","NE_S3","NE_F4","NE_F4","NE_S4","NE_S4","NE_F5","NE_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
